Accuracy,Precision,Recall,F1,AUC,TrainTime,Model,Run,Ratio,PreserveOriginal
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6276106934001671,0.5484218089841306,patchqgan,0,0.25,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7383040935672515,0.6553406561724842,patchqgan,0,0.5,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6741854636591479,0.8055401360616088,patchqgan,0,0.75,True
0.7371794871794872,0.7417218543046358,0.9824561403508771,0.8452830188679246,0.6982038429406849,0.8065211297944188,patchqgan,0,1.0,True
0.7564102564102564,0.7567567567567568,0.9824561403508771,0.8549618320610687,0.705513784461153,1.0289506460539997,patchqgan,0,1.5,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6537176274018379,0.47949909092858434,patchqgan,1,0.25,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6453634085213033,0.5987541219219565,patchqgan,1,0.5,True
0.75,0.7450980392156863,1.0,0.8539325842696629,0.7520885547201336,0.7009679758921266,patchqgan,1,0.75,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.8053467000835423,0.7810566006228328,patchqgan,1,1.0,True
0.7628205128205128,0.7549668874172185,1.0,0.8603773584905661,0.7733918128654971,0.9807232292369008,patchqgan,1,1.5,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7000835421888053,0.5154653107747436,patchqgan,2,0.25,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7205513784461154,0.6060204147361219,patchqgan,2,0.5,True
0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.7412280701754386,0.6947658900171518,patchqgan,2,0.75,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7002923976608187,0.8163936189375818,patchqgan,2,1.0,True
0.7948717948717948,0.7847222222222222,0.9912280701754386,0.875968992248062,0.7378863826232247,1.0628774240612984,patchqgan,2,1.5,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5100250626566416,0.5327897151000798,patchqgan,3,0.25,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6203007518796992,0.6086176629178226,patchqgan,3,0.5,True
0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.7147034252297411,0.7158444519154727,patchqgan,3,0.75,True
0.7884615384615384,0.7793103448275862,0.9912280701754386,0.8725868725868726,0.7869674185463659,0.8261886769905686,patchqgan,3,1.0,True
0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.7685881370091896,1.0902730897068977,patchqgan,3,1.5,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6610275689223059,0.5137955881655216,patchqgan,4,0.25,True
0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.6672932330827068,0.5965043264441192,patchqgan,4,0.5,True
0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.6225981620718463,0.7245635860599577,patchqgan,4,0.75,True
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7053049289891395,0.8197232699021697,patchqgan,4,1.0,True
0.75,0.7450980392156863,1.0,0.8539325842696629,0.7761069340016709,1.034243430942297,patchqgan,4,1.5,True
