Model,Strategy,Ratio,Acc,Prec,Rec,F1,AUC,Synth,TrainTime
baseline,None,0.0,0.7692307692307692,0.7697963800904977,0.9824561403508771,0.8622222222222222,0.6409774436090225,0,0.6989211870823056
baseline,oversampling,0.5,0.7115384615384616,0.8403445322166174,0.7675438596491229,0.7889282792473411,0.7443609022556392,252,0.4900821747723967
baseline,smote,0.5,0.27884615384615385,1.0,0.013157894736842105,0.02593703148425787,0.7838345864661653,252,0.5143676190637052
baseline,undersampling,0.5,0.5448717948717949,0.84375,0.48684210526315785,0.48712911529603037,0.7330827067669173,-252,0.23288651858456433
cgan,gan_balanced,0.5,0.6698717948717949,0.8081975071907959,0.7543859649122807,0.7535749710695983,0.7136591478696741,252,0.6299886701162905
dcgan,gan_balanced,0.5,0.7147435897435898,0.8925614316239316,0.7017543859649122,0.7686901113867406,0.7969924812030075,252,0.49982992582954466
wgan,gan_balanced,0.5,0.5448717948717949,0.8215579710144927,0.5263157894736842,0.5283272283272282,0.725250626566416,252,0.7690610643476248
