Model,Run,Train_time_sec,Params,Inference_time_per_img_sec
patchqgan,0,11184.98040258931,120,0.03896129911299795
patchqgan,1,11376.054984251969,120,0.04061389801790938
patchqgan,2,11409.281423738692,120,0.039676730637438595
patchqgan,3,11323.876034454908,120,0.03961785539286211
patchqgan,4,11318.439890322275,120,0.03981342475162819
