Model,Run,Strategy,Acc,Prec,Rec,F1,AUC,Ratio,Synth,TrainTime
baseline,0,None,0.6923076923076923,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.7253550543024228,0.0,0,1.1512273871339858
baseline,0,smote,0.532051282051282,0.9555555555555556,0.37719298245614036,0.5408805031446542,0.8091060985797828,0.5,252,0.7574081872589886
baseline,0,undersampling,0.2692307692307692,0.0,0.0,0.0,0.7779866332497911,0.5,-252,0.33151371823623776
baseline,0,oversampling,0.7628205128205128,0.8130081300813008,0.8771929824561403,0.8438818565400843,0.7813283208020051,0.5,252,0.7128136078827083
dcgan,0,gan_balanced,0.6730769230769231,0.9436619718309859,0.5877192982456141,0.7243243243243244,0.8036758563074352,0.5,252,0.7450259001925588
cgan,0,gan_balanced,0.7115384615384616,0.7315436241610739,0.956140350877193,0.8288973384030418,0.7383040935672516,0.5,252,0.7760297688655555
wgan,0,gan_balanced,0.7371794871794872,0.9397590361445783,0.6842105263157895,0.7918781725888325,0.8464912280701755,0.5,252,0.752979617100209
