Model,Strategy,Accuracy,Precision,Recall,F1,AUC,TrainTime
mosaiq,balance_50_50,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6956975772765247,0.7222421723417938
patchqgan,balance_50_50,0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.794486215538847,1.293076902627945
