Model,TrainTime,Params,LatencyPerImage
cgan,16.69953742973041,868613.0,6.84668957546819e-05
dcgan,11.430779370688834,759680.0,4.4876049214508386e-05
wgan,54.39508851030376,759680.0,6.934418372111394e-05
