Model,Run,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
dcgan,0,0.25,0.6666666666666666,0.8690476190476191,0.6403508771929824,0.7373737373737373,0.7587719298245615,0.7353265914134681
dcgan,0,0.5,0.7756410256410257,0.7883211678832117,0.9473684210526315,0.8605577689243028,0.7673350041771094,0.8213862390257418
dcgan,0,0.75,0.5769230769230769,0.9285714285714286,0.45614035087719296,0.611764705882353,0.7589807852965748,0.9527183892205358
dcgan,0,1.0,0.7435897435897436,0.8490566037735849,0.7894736842105263,0.8181818181818182,0.7765246449456976,1.070478131994605
dcgan,0,1.5,0.7948717948717948,0.847457627118644,0.8771929824561403,0.8620689655172413,0.8214285714285715,1.3196546100080013
dcgan,1,0.25,0.5769230769230769,0.7727272727272727,0.5964912280701754,0.6732673267326733,0.5766499582289056,0.6414664606563747
dcgan,1,0.5,0.5705128205128205,0.9607843137254902,0.4298245614035088,0.593939393939394,0.8425229741019216,0.7690948341041803
dcgan,1,0.75,0.5961538461538461,0.8695652173913043,0.5263157894736842,0.6557377049180327,0.7656641604010025,0.8932255171239376
dcgan,1,1.0,0.7628205128205128,0.8347826086956521,0.8421052631578947,0.8384279475982532,0.7842522974101922,1.0218594749458134
dcgan,1,1.5,0.7307692307692307,0.9090909090909091,0.7017543859649122,0.7920792079207921,0.7834168755221387,1.275556717067957
dcgan,2,0.25,0.7435897435897436,0.7846153846153846,0.8947368421052632,0.8360655737704918,0.7312030075187971,0.6502079637721181
dcgan,2,0.5,0.7756410256410257,0.8015267175572519,0.9210526315789473,0.8571428571428571,0.756265664160401,0.7782320752739906
dcgan,2,0.75,0.7307692307692307,0.7368421052631579,0.9824561403508771,0.8421052631578947,0.5716374269005848,0.9009062596596777
dcgan,2,1.0,0.8076923076923077,0.8442622950819673,0.9035087719298246,0.8728813559322034,0.8159983291562238,1.02913958998397
dcgan,2,1.5,0.8269230769230769,0.84251968503937,0.9385964912280702,0.8879668049792531,0.8573517126148705,1.2824372788891196
dcgan,3,0.25,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7510442773600667,0.649238167796284
dcgan,3,0.5,0.7948717948717948,0.8796296296296297,0.8333333333333334,0.8558558558558559,0.8439849624060151,0.7761588227003813
dcgan,3,0.75,0.6025641025641025,0.9814814814814815,0.4649122807017544,0.6309523809523809,0.8479532163742689,0.9021314107812941
dcgan,3,1.0,0.7948717948717948,0.847457627118644,0.8771929824561403,0.8620689655172413,0.829156223893066,1.031174280680716
dcgan,3,1.5,0.7948717948717948,0.853448275862069,0.868421052631579,0.8608695652173913,0.8362573099415206,1.282325433101505
dcgan,4,0.25,0.7564102564102564,0.7753623188405797,0.9385964912280702,0.8492063492063492,0.7111528822055138,0.6547536631114781
dcgan,4,0.5,0.7115384615384616,0.7716535433070866,0.8596491228070176,0.8132780082987552,0.6977861319966583,0.7831503050401807
dcgan,4,0.75,0.7371794871794872,0.7417218543046358,0.9824561403508771,0.8452830188679246,0.711779448621554,0.9361016741022468
dcgan,4,1.0,0.717948717948718,0.8723404255319149,0.7192982456140351,0.7884615384615384,0.7706766917293233,1.0387045638635755
dcgan,4,1.5,0.8012820512820513,0.8029197080291971,0.9649122807017544,0.8764940239043825,0.7969924812030075,1.2971484018489718
dcgan,5,0.25,0.75,0.7483443708609272,0.9912280701754386,0.8528301886792453,0.7529239766081871,0.6680111708119512
dcgan,5,0.5,0.782051282051282,0.7985074626865671,0.9385964912280702,0.8629032258064516,0.7715121136173768,0.7947234129533172
dcgan,5,0.75,0.782051282051282,0.8225806451612904,0.8947368421052632,0.8571428571428571,0.747702589807853,0.9355351622216403
dcgan,5,1.0,0.6858974358974359,0.8571428571428571,0.6842105263157895,0.7609756097560976,0.7309941520467836,1.0309075452387333
dcgan,5,1.5,0.6923076923076923,0.875,0.6754385964912281,0.7623762376237624,0.8233082706766918,1.2957682367414236
dcgan,6,0.25,0.7371794871794872,0.8476190476190476,0.7807017543859649,0.8127853881278538,0.7602339181286549,0.6427806760184467
dcgan,6,0.5,0.6089743589743589,0.9491525423728814,0.49122807017543857,0.6473988439306358,0.8022138680033416,0.7665319871157408
dcgan,6,0.75,0.7692307692307693,0.8095238095238095,0.8947368421052632,0.85,0.7621136173767753,0.8932945807464421
dcgan,6,1.0,0.75,0.8205128205128205,0.8421052631578947,0.8311688311688312,0.7821637426900585,1.034958919044584
dcgan,6,1.5,0.5705128205128205,0.9795918367346939,0.42105263157894735,0.588957055214724,0.8692564745196325,1.2139522787183523
dcgan,7,0.25,0.2948717948717949,0.8333333333333334,0.043859649122807015,0.08333333333333333,0.7855054302422724,0.6482291622087359
dcgan,7,0.5,0.717948717948718,0.9166666666666666,0.6754385964912281,0.7777777777777778,0.83249791144528,0.7713758670724928
dcgan,7,0.75,0.75,0.8947368421052632,0.7456140350877193,0.8133971291866029,0.8350041771094403,0.8985010469332337
dcgan,7,1.0,0.7243589743589743,0.9080459770114943,0.6929824561403509,0.7860696517412935,0.840016708437761,1.029693617951125
dcgan,7,1.5,0.782051282051282,0.7816901408450704,0.9736842105263158,0.8671875,0.7898913951545531,1.2878464059904218
dcgan,8,0.25,0.7628205128205128,0.7730496453900709,0.956140350877193,0.8549019607843137,0.7113617376775272,0.651817571837455
dcgan,8,0.5,0.7692307692307693,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8013784461152883,0.7779852817766368
dcgan,8,0.75,0.717948717948718,0.8723404255319149,0.7192982456140351,0.7884615384615384,0.779030910609858,0.9060347978956997
dcgan,8,1.0,0.8205128205128205,0.8583333333333333,0.9035087719298246,0.8803418803418803,0.8176691729323309,1.0326924179680645
dcgan,8,1.5,0.7692307692307693,0.8482142857142857,0.8333333333333334,0.8407079646017699,0.7965747702589807,1.292648098897189
dcgan,9,0.25,0.42948717948717946,0.9310344827586207,0.23684210526315788,0.3776223776223776,0.7149122807017544,0.6504553453996778
dcgan,9,0.5,0.7628205128205128,0.8811881188118812,0.7807017543859649,0.827906976744186,0.8132832080200502,0.7775720870122313
dcgan,9,0.75,0.6474358974358975,0.9402985074626866,0.5526315789473685,0.6961325966850829,0.8233082706766918,0.9074752470478415
dcgan,9,1.0,0.7884615384615384,0.7872340425531915,0.9736842105263158,0.8705882352941177,0.7690058479532165,1.0389267522841692
dcgan,9,1.5,0.6794871794871795,0.8404255319148937,0.6929824561403509,0.7596153846153846,0.7241019214703425,1.3177940999157727
dcgan,10,0.25,0.8012820512820513,0.8807339449541285,0.8421052631578947,0.8609865470852018,0.825187969924812,0.6501813819631934
dcgan,10,0.5,0.6987179487179487,0.8602150537634409,0.7017543859649122,0.7729468599033816,0.766499582289056,0.7776089808903635
dcgan,10,0.75,0.7435897435897436,0.8363636363636363,0.8070175438596491,0.8214285714285714,0.7575187969924813,0.9104245458729565
dcgan,10,1.0,0.7948717948717948,0.8360655737704918,0.8947368421052632,0.864406779661017,0.8230994152046784,1.0329130762256682
dcgan,10,1.5,0.8205128205128205,0.8257575757575758,0.956140350877193,0.8861788617886179,0.8291562238930661,1.2258994621224701
