Accuracy,Precision,Recall,F1,AUC,TrainTime,Model,Run,Ratio,PreserveOriginal
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6656223893065999,0.6085173957981169,patchqgan,0,0.25,False
0.7435897435897436,0.7402597402597403,1.0,0.8507462686567164,0.6215538847117794,0.7134161572903395,patchqgan,0,0.5,False
0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.7038429406850459,0.7836044523864985,patchqgan,0,0.75,False
0.7564102564102564,0.75,1.0,0.8571428571428571,0.7481203007518796,0.9303699815645814,patchqgan,0,1.0,False
0.6794871794871795,0.753968253968254,0.8333333333333334,0.7916666666666666,0.6551796157059315,1.1140479822643101,patchqgan,0,1.5,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6194653299916457,0.5011144522577524,patchqgan,1,0.25,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7890559732664996,0.5885692308656871,patchqgan,1,0.5,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7140768588137009,0.6472687218338251,patchqgan,1,0.75,False
0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.7852965747702589,0.9690644457004964,patchqgan,1,1.0,False
0.7564102564102564,0.75,1.0,0.8571428571428571,0.7013366750208856,0.9704077308997512,patchqgan,1,1.5,False
0.75,0.7659574468085106,0.9473684210526315,0.8470588235294118,0.6733500417710944,0.4937374060973525,patchqgan,2,0.25,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7366332497911445,0.5913168359547853,patchqgan,2,0.5,False
0.7756410256410257,0.7651006711409396,1.0,0.8669201520912547,0.7832080200501254,0.6865377491340041,patchqgan,2,0.75,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.743734335839599,0.9682398629374802,patchqgan,2,1.0,False
0.7756410256410257,0.7651006711409396,1.0,0.8669201520912547,0.801796157059315,1.018309413921088,patchqgan,2,1.5,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6365914786967419,0.525942272040993,patchqgan,3,0.25,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7046783625730995,0.6510550403036177,patchqgan,3,0.5,False
0.7948717948717948,0.7928571428571428,0.9736842105263158,0.8740157480314961,0.7504177109440268,0.7638393370434642,patchqgan,3,0.75,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7510442773600668,0.8329065372236073,patchqgan,3,1.0,False
0.7692307692307693,0.76,1.0,0.8636363636363636,0.7725563909774437,0.9812685982324183,patchqgan,3,1.5,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6877610693400168,0.5819805869832635,patchqgan,4,0.25,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5799916457811195,0.5865668351761997,patchqgan,4,0.5,False
0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.5570175438596491,0.6819090987555683,patchqgan,4,0.75,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7696324143692564,0.7935343743301928,patchqgan,4,1.0,False
0.7884615384615384,0.7872340425531915,0.9736842105263158,0.8705882352941177,0.743734335839599,0.9951339736580849,patchqgan,4,1.5,False
