Accuracy,Precision,Recall,F1,AUC,TrainTime,Model,Run,Ratio,PreserveOriginal
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7731829573934836,0.674406121019274,patchqgan,0,0.25,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.550125313283208,0.7976701627485454,patchqgan,0,0.5,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7752715121136174,0.9077652031555772,patchqgan,0,0.75,False
0.7756410256410257,0.7841726618705036,0.956140350877193,0.8616600790513834,0.6915204678362573,1.027234781999141,patchqgan,0,1.0,False
0.7564102564102564,0.75,1.0,0.8571428571428571,0.7157477025898079,1.2358784368261695,patchqgan,0,1.5,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7428989139515456,0.6330760521814227,mosaiq,0,0.25,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6946532999164579,0.7184976167045534,mosaiq,0,0.5,False
0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7207602339181286,0.8396162642166018,mosaiq,0,0.75,False
0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.7109440267335004,0.9538885778747499,mosaiq,0,1.0,False
0.7756410256410257,0.7762237762237763,0.9736842105263158,0.8638132295719845,0.7844611528822054,1.2210831129923463,mosaiq,0,1.5,False
