Model,Run,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
dcgan,0,0.25,0.7948717948717948,0.7887323943661971,0.9824561403508771,0.875,0.808061821219716,0.865220463834703
dcgan,0,0.5,0.8141025641025641,0.8195488721804511,0.956140350877193,0.8825910931174088,0.8185045948203842,1.0238077002577484
dcgan,0,0.75,0.6346153846153846,0.9130434782608695,0.5526315789473685,0.6885245901639344,0.8038847117794488,1.1442099399864674
dcgan,0,1.0,0.36538461538461536,0.9411764705882353,0.14035087719298245,0.24427480916030533,0.7568922305764411,1.262537444010377
dcgan,0,1.5,0.6858974358974359,0.9012345679012346,0.6403508771929824,0.7487179487179486,0.8088972431077694,1.524321477394551
cgan,0,0.25,0.7756410256410257,0.8110236220472441,0.9035087719298246,0.8547717842323652,0.7581453634085213,0.8704690239392221
cgan,0,0.5,0.782051282051282,0.8076923076923077,0.9210526315789473,0.860655737704918,0.7527151211361738,1.0001866552047431
cgan,0,0.75,0.7435897435897436,0.8303571428571429,0.8157894736842105,0.8230088495575222,0.7988721804511277,1.122225632891059
cgan,0,1.0,0.8076923076923077,0.828125,0.9298245614035088,0.8760330578512396,0.7980367585630743,1.232890164013952
cgan,0,1.5,0.7628205128205128,0.8235294117647058,0.8596491228070176,0.8412017167381973,0.7698412698412699,1.482619846239686
wgan,0,0.25,0.7564102564102564,0.75,1.0,0.8571428571428571,0.7974101921470343,0.8767817970365286
wgan,0,0.5,0.6538461538461539,0.8409090909090909,0.6491228070175439,0.7326732673267327,0.7347535505430243,0.962099120952189
wgan,0,0.75,0.7692307692307693,0.8095238095238095,0.8947368421052632,0.8500000000000001,0.8155806182121972,1.146703657694161
wgan,0,1.0,0.6987179487179487,0.8941176470588236,0.6666666666666666,0.7638190954773869,0.7942773600668337,1.2456051940098405
wgan,0,1.5,0.8141025641025641,0.8346456692913385,0.9298245614035088,0.8796680497925311,0.8107769423558897,1.4949460411444306
