Model,Run,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
dcgan,0,0.25,0.4358974358974359,0.9333333333333333,0.24561403508771928,0.38888888888888884,0.8180868838763575,0.5731996409595013
dcgan,0,0.5,0.782051282051282,0.8333333333333334,0.8771929824561403,0.8547008547008548,0.7917710944026735,0.7032041097991168
dcgan,0,0.75,0.6474358974358975,0.927536231884058,0.5614035087719298,0.6994535519125682,0.8153717627401837,0.7832793560810387
dcgan,0,1.0,0.7756410256410257,0.7762237762237763,0.9736842105263158,0.8638132295719845,0.8201754385964912,0.8565263417549431
dcgan,0,1.5,0.8076923076923077,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8245614035087719,1.0127146230079234
dcgan,1,0.25,0.7884615384615384,0.7956204379562044,0.956140350877193,0.8685258964143427,0.777360066833751,0.573934611864388
dcgan,1,0.5,0.782051282051282,0.7857142857142857,0.9649122807017544,0.8661417322834646,0.8107769423558897,0.6482150251977146
dcgan,1,0.75,0.7371794871794872,0.9010989010989011,0.7192982456140351,0.8000000000000002,0.8126566416040101,0.7267651329748333
dcgan,1,1.0,0.6858974358974359,0.8823529411764706,0.6578947368421053,0.7537688442211056,0.7984544695071011,0.8044613138772547
dcgan,1,1.5,0.8141025641025641,0.8244274809160306,0.9473684210526315,0.8816326530612245,0.8454469507101087,0.9668535459786654
cgan,0,0.25,0.75,0.7483443708609272,0.9912280701754386,0.8528301886792453,0.7788220551378446,0.6591205219738185
cgan,0,0.5,0.75,0.8504672897196262,0.7982456140350878,0.823529411764706,0.7754803675856308,1.033604476135224
cgan,0,0.75,0.7307692307692307,0.8461538461538461,0.7719298245614035,0.8073394495412844,0.7809106098579783,1.131590920034796
cgan,0,1.0,0.782051282051282,0.7898550724637681,0.956140350877193,0.865079365079365,0.8020050125313284,1.2399430559016764
cgan,0,1.5,0.7756410256410257,0.8623853211009175,0.8245614035087719,0.8430493273542601,0.8176691729323308,1.5096756019629538
cgan,1,0.25,0.7692307692307693,0.825,0.868421052631579,0.8461538461538461,0.7650375939849626,0.8831870993599296
cgan,1,0.5,0.6602564102564102,0.8961038961038961,0.6052631578947368,0.7225130890052356,0.7846700083542189,1.008716250769794
cgan,1,0.75,0.7435897435897436,0.8303571428571429,0.8157894736842105,0.8230088495575222,0.75,1.1305369343608618
cgan,1,1.0,0.6858974358974359,0.891566265060241,0.6491228070175439,0.751269035532995,0.8011695906432748,1.2567564588971436
cgan,1,1.5,0.7692307692307693,0.875,0.7982456140350878,0.834862385321101,0.8218462823725982,1.4882678957656026
wgan,0,0.25,0.717948717948718,0.8977272727272727,0.6929824561403509,0.7821782178217822,0.8352130325814535,0.8867163457907736
wgan,0,0.5,0.7692307692307693,0.782608695652174,0.9473684210526315,0.8571428571428571,0.7817460317460317,1.0059851971454918
wgan,0,0.75,0.7756410256410257,0.7969924812030075,0.9298245614035088,0.8582995951417005,0.8322890559732666,1.1245753760449588
wgan,0,1.0,0.7884615384615384,0.8347107438016529,0.8859649122807017,0.8595744680851064,0.8145363408521303,1.254753771238029
wgan,0,1.5,0.7692307692307693,0.8,0.9122807017543859,0.8524590163934427,0.7938596491228072,1.4943715492263436
wgan,1,0.25,0.75,0.7737226277372263,0.9298245614035088,0.8446215139442232,0.7036340852130325,0.8961663017980754
wgan,1,0.5,0.7628205128205128,0.9052631578947369,0.7543859649122807,0.8229665071770335,0.8099415204678363,1.0251382612623274
wgan,1,0.75,0.7307692307692307,0.7686567164179104,0.9035087719298246,0.8306451612903226,0.6867167919799498,1.1511704362928867
wgan,1,1.0,0.6666666666666666,0.918918918918919,0.5964912280701754,0.7234042553191489,0.8013784461152882,1.2765331538394094
wgan,1,1.5,0.7628205128205128,0.8407079646017699,0.8333333333333334,0.8370044052863437,0.8235171261487051,1.5302336369641125
