Model,Run,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
dcgan,0,0.25,0.7051282051282052,0.9146341463414634,0.6578947368421053,0.7653061224489797,0.8464912280701754,0.853627004660666
dcgan,0,0.5,0.7628205128205128,0.8888888888888888,0.7719298245614035,0.8262910798122066,0.8529657477025898,1.0156161468476057
dcgan,0,0.75,0.75,0.7450980392156863,1.0,0.8539325842696629,0.8145363408521303,1.1343753850087523
dcgan,0,1.0,0.6987179487179487,0.935064935064935,0.631578947368421,0.7539267015706805,0.8498329156223893,1.2577100899070501
dcgan,0,1.5,0.8076923076923077,0.8134328358208955,0.956140350877193,0.8790322580645161,0.7742272347535506,1.49683623528108
dcgan,1,0.25,0.75,0.7516778523489933,0.9824561403508771,0.8517110266159695,0.767126148705096,0.8586716931313276
dcgan,1,0.5,0.75,0.8151260504201681,0.8508771929824561,0.832618025751073,0.7746449456975774,0.9789886078797281
dcgan,1,0.75,0.7884615384615384,0.8292682926829268,0.8947368421052632,0.860759493670886,0.8276942355889725,1.0968848317861557
dcgan,1,1.0,0.8076923076923077,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.843358395989975,1.1758037963882089
dcgan,1,1.5,0.8076923076923077,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.7986633249791145,1.462384379003197
dcgan,2,0.25,0.7307692307692307,0.8529411764705882,0.7631578947368421,0.8055555555555555,0.7957393483709274,0.858719184063375
dcgan,2,0.5,0.75,0.8260869565217391,0.8333333333333334,0.8296943231441049,0.8162071846282373,0.9781942120753229
dcgan,2,0.75,0.7692307692307693,0.8679245283018868,0.8070175438596491,0.8363636363636363,0.8299916457811195,1.1072155027650297
dcgan,2,1.0,0.8076923076923077,0.828125,0.9298245614035088,0.8760330578512396,0.8410609857978278,1.2343040648847818
dcgan,2,1.5,0.5512820512820513,0.9583333333333334,0.40350877192982454,0.5679012345679012,0.8185045948203844,1.456896117888391
dcgan,3,0.25,0.7564102564102564,0.8877551020408163,0.7631578947368421,0.8207547169811321,0.818922305764411,0.8758223420009017
dcgan,3,0.5,0.5064102564102564,0.9512195121951219,0.34210526315789475,0.503225806451613,0.8366750208855472,0.9972804542630911
dcgan,3,0.75,0.4230769230769231,0.9615384615384616,0.21929824561403508,0.35714285714285715,0.83249791144528,1.1167072248645127
dcgan,3,1.0,0.8269230769230769,0.8372093023255814,0.9473684210526315,0.8888888888888888,0.8596491228070174,1.2407127860933542
dcgan,3,1.5,0.7692307692307693,0.90625,0.7631578947368421,0.8285714285714286,0.8462823725981621,1.4903276758268476
dcgan,4,0.25,0.4166666666666667,0.96,0.21052631578947367,0.3453237410071942,0.8032581453634084,0.8783395397476852
dcgan,4,0.5,0.8076923076923077,0.8387096774193549,0.9122807017543859,0.8739495798319329,0.8011695906432749,0.9940162217244506
dcgan,4,0.75,0.7435897435897436,0.8936170212765957,0.7368421052631579,0.8076923076923077,0.8187134502923977,1.1181396101601422
dcgan,4,1.0,0.782051282051282,0.8076923076923077,0.9210526315789473,0.860655737704918,0.8047201336675021,1.2407851968891919
dcgan,4,1.5,0.8269230769230769,0.8717948717948718,0.8947368421052632,0.8831168831168831,0.8312447786131997,1.4883168819360435
cgan,0,0.25,0.6923076923076923,0.875,0.6754385964912281,0.7623762376237624,0.7984544695071011,0.8889698851853609
cgan,0,0.5,0.6987179487179487,0.8130841121495327,0.7631578947368421,0.7873303167420815,0.7451963241436925,1.0220244717784226
cgan,0,0.75,0.7307692307692307,0.9,0.7105263157894737,0.7941176470588235,0.8137009189640768,1.1383774168789387
cgan,0,1.0,0.7884615384615384,0.8188976377952756,0.9122807017543859,0.863070539419087,0.7606516290726817,1.2723121629096568
cgan,0,1.5,0.7948717948717948,0.8253968253968254,0.9122807017543859,0.8666666666666667,0.8003341687552216,1.5378904081881046
cgan,1,0.25,0.6217948717948718,0.8481012658227848,0.5877192982456141,0.6943005181347152,0.7456140350877193,0.8922744439914823
cgan,1,0.5,0.6089743589743589,0.9344262295081968,0.5,0.6514285714285715,0.7992898913951546,1.0176550368778408
cgan,1,0.75,0.7051282051282052,0.8863636363636364,0.6842105263157895,0.7722772277227723,0.8011695906432749,1.1474870778620243
cgan,1,1.0,0.6858974358974359,0.891566265060241,0.6491228070175439,0.751269035532995,0.8072263993316625,1.2844264078885317
cgan,1,1.5,0.7564102564102564,0.8275862068965517,0.8421052631578947,0.8347826086956522,0.7825814536340852,1.5322558521293104
cgan,2,0.25,0.8397435897435898,0.8449612403100775,0.956140350877193,0.897119341563786,0.7886382623224729,0.900372214615345
cgan,2,0.5,0.6474358974358975,0.8831168831168831,0.5964912280701754,0.7120418848167539,0.793859649122807,1.0216563260182738
cgan,2,0.75,0.7692307692307693,0.7635135135135135,0.9912280701754386,0.8625954198473282,0.7821637426900585,1.1480798260308802
cgan,2,1.0,0.7115384615384616,0.8709677419354839,0.7105263157894737,0.782608695652174,0.7919799498746867,1.2758761625736952
cgan,2,1.5,0.782051282051282,0.8571428571428571,0.8421052631578947,0.8495575221238938,0.8327067669172932,1.5296660521999002
cgan,3,0.25,0.7692307692307693,0.819672131147541,0.8771929824561403,0.8474576271186439,0.772765246449457,0.8920680163428187
