Model,Run,TrainTime,Params,LatencyPerImage
dcgan,0,11.308739008381963,759680,0.00037039138260297477
dcgan,1,11.10639956407249,759680,3.7353805964812636e-05
dcgan,2,11.099770719185472,759680,4.0367463952861726e-05
dcgan,3,11.413396887015551,759680,4.3392370571382344e-05
dcgan,4,11.37887549167499,759680,3.524594649206847e-05
dcgan,5,11.431604666169733,759680,3.953315899707377e-05
dcgan,6,11.431823153980076,759680,4.3301653931848705e-05
dcgan,7,11.34512913506478,759680,4.077437915839255e-05
dcgan,8,11.166055188979954,759680,3.7809630157426e-05
dcgan,9,11.134312354959548,759680,3.801198909059167e-05
dcgan,10,11.108752398751676,759680,3.8430531276389956e-05
dcgan,11,11.1856060619466,759680,3.890802327077836e-05
dcgan,12,11.196562002412975,759680,3.876427945215255e-05
dcgan,13,11.415220311842859,759680,5.8481062296777964e-05
dcgan,14,11.200970037840307,759680,4.0842758608050644e-05
dcgan,15,11.558354513254017,759680,4.132608592044562e-05
dcgan,16,11.22291336208582,759680,4.028418334200978e-05
dcgan,17,11.48781681805849,759680,4.037337203044444e-05
dcgan,18,11.602540044113994,759680,4.0192840970121324e-05
dcgan,19,11.619181986898184,759680,4.312839882913977e-05
dcgan,20,11.644992154091597,759680,4.705868195742369e-05
dcgan,21,11.613448103889823,759680,4.8852540203370154e-05
dcgan,22,11.558728442061692,759680,4.6654080506414175e-05
dcgan,23,11.410955189261585,759680,4.434284346643835e-05
dcgan,24,11.613299453165382,759680,4.772143438458443e-05
dcgan,25,11.583507206756622,759680,4.2494255467318e-05
dcgan,26,11.571534706745297,759680,4.545909177977592e-05
dcgan,27,11.54656168911606,759680,4.20612923335284e-05
dcgan,28,11.54905249690637,759680,4.073964373674244e-05
dcgan,29,11.580820225644857,759680,4.3548381654545665e-05
dcgan,30,11.573557876981795,759680,4.268440534360707e-05
dcgan,31,11.56928305560723,759680,4.258903209120035e-05
dcgan,32,11.585927571170032,759680,4.470828571356833e-05
dcgan,33,11.620367146097124,759680,4.431068373378366e-05
dcgan,34,11.447657429147512,759680,4.343721957411617e-05
dcgan,35,11.53081981325522,759680,4.269322380423546e-05
dcgan,36,11.523046798072755,759680,4.232484207022935e-05
dcgan,37,11.307767488062382,759680,3.430002834647894e-05
dcgan,38,11.268945967312902,759680,3.4286436857655644e-05
dcgan,39,11.603605798911303,759680,3.563790232874453e-05
dcgan,40,11.61692607216537,759680,3.570553963072598e-05
dcgan,41,11.362993855960667,759680,3.447574272286147e-05
dcgan,42,11.360424865968525,759680,3.777096571866423e-05
dcgan,43,11.489545634947717,759680,4.467628605198115e-05
dcgan,44,11.44701950903982,759680,4.451884888112545e-05
dcgan,45,11.604267221875489,759680,4.703577724285424e-05
dcgan,46,11.640402097254992,759680,4.5651220716536045e-05
dcgan,47,11.428056654054672,759680,4.132749745622277e-05
dcgan,48,11.519540228880942,759680,4.5133783714845777e-05
dcgan,49,11.12579610478133,759680,5.5946089560166e-05
dcgan,50,11.485039272811264,759680,4.543243267107755e-05
dcgan,51,11.215252408757806,759680,3.834540257230401e-05
dcgan,52,11.001038955990225,759680,4.021810309495777e-05
dcgan,53,11.219048139639199,759680,3.9477963582612574e-05
dcgan,54,11.467496079858392,759680,4.264766175765544e-05
dcgan,55,11.235214170068502,759680,4.0319093386642635e-05
dcgan,56,11.170649203006178,759680,4.139977681916207e-05
dcgan,57,11.546870658174157,759680,4.062843800056726e-05
dcgan,58,11.491525120101869,759680,4.744438047055155e-05
dcgan,59,11.419833033811301,759680,4.658337275031954e-05
dcgan,60,11.409789775963873,759680,5.001656245440245e-05
dcgan,61,11.443946261890233,759680,4.2308689444325864e-05
dcgan,62,11.437678892165422,759680,4.786154022440314e-05
dcgan,63,11.169691954739392,759680,4.0426632040180266e-05
