Model,Strategy,Ratio,Acc,Prec,Rec,F1,AUC,Synth,TrainTime
baseline,None,0.0,0.7756410256410257,0.8319327731092437,0.868421052631579,0.8497854077253219,0.7708855472013366,0.0,1.4722855598665774
baseline,oversampling,0.5,0.5897435897435898,0.9629629629629629,0.45614035087719296,0.6190476190476191,0.843984962406015,252.0,0.6968383430503309
baseline,smote,0.5,0.27564102564102566,1.0,0.008771929824561403,0.017391304347826087,0.7443609022556391,252.0,0.8149073552340269
baseline,undersampling,0.5,0.5705128205128205,0.8983050847457628,0.4649122807017544,0.6127167630057804,0.7015455304928989,-252.0,0.3726018122397363
cgan,gan_balanced,0.5,0.6884615384615383,0.8180020678396395,0.7670175438596492,0.7633630075599146,0.7405284043441938,252.0,0.7904926447151229
dcgan,gan_balanced,0.5,0.7308333333333333,0.819728631139735,0.8360526315789474,0.8066613951539406,0.7853174603174604,252.0,0.7845681371679529
wgan,gan_balanced,0.5,0.733974358974359,0.8288110869068863,0.8286842105263158,0.8038498779681137,0.7913063909774436,252.0,0.798061531833373
