Model,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
cgan,0.25,0.6474358974358975,0.8831168831168831,0.5964912280701754,0.7120418848167539,0.7376775271512113,0.630864498205483
cgan,0.5,0.7564102564102564,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7842522974101922,0.7546424702741206
cgan,0.75,0.7371794871794872,0.8543689320388349,0.7719298245614035,0.8110599078341014,0.8020050125313283,0.9021048350259662
cgan,1.0,0.8333333333333334,0.8666666666666667,0.9122807017543859,0.8888888888888888,0.8114035087719299,0.9981349189765751
cgan,1.5,0.782051282051282,0.8333333333333334,0.8771929824561403,0.8547008547008548,0.7479114452798663,1.2684326390735805
dcgan,0.25,0.7756410256410257,0.8623853211009175,0.8245614035087719,0.8430493273542601,0.8191311612364244,0.6645470797084272
dcgan,0.5,0.28205128205128205,0.75,0.02631578947368421,0.05084745762711864,0.8341687552213868,0.783880079165101
dcgan,0.75,0.5384615384615384,0.9375,0.39473684210526316,0.5555555555555556,0.8481620718462823,0.9026532950811088
dcgan,1.0,0.6730769230769231,0.92,0.6052631578947368,0.7301587301587301,0.8170426065162908,1.0262957159429789
dcgan,1.5,0.7564102564102564,0.8275862068965517,0.8421052631578947,0.8347826086956522,0.8038847117794486,1.2607081132009625
wgan,0.25,0.717948717948718,0.8017241379310345,0.8157894736842105,0.808695652173913,0.738512949039265,0.61549425823614
wgan,0.5,0.7371794871794872,0.7449664429530202,0.9736842105263158,0.844106463878327,0.6938178780284043,0.7589314975775778
wgan,0.75,0.75,0.8205128205128205,0.8421052631578947,0.8311688311688312,0.7752715121136174,0.8834401881322265
wgan,1.0,0.7564102564102564,0.8275862068965517,0.8421052631578947,0.8347826086956522,0.768796992481203,1.0219933530315757
wgan,1.5,0.717948717948718,0.8804347826086957,0.7105263157894737,0.7864077669902914,0.7967836257309943,1.246523872949183
