strategy,strategy_display_name,strategy_index,gan_run_id,generation_run_id,classifier_run_id,ratio,acc,prec,rec,f1,auc,tn,fp,fn,tp,synthetic_class0_count,balanced_dataset_size,total_real_samples,real_class0_count,real_class1_count,gan_training_time_sec,synthetic_generation_time_sec,classifier_training_time_sec,classifier_eval_time_sec,gan_seed,generation_seed,classifier_seed
baseline,ResNet sem balanceamento,1,1,1,1,0.2692307692307692,0.717948717948718,0.7692307692307693,0.8771929824561403,0.819672131147541,0.581453634085213,12,30,14,100,0,546,546,147,399,0.0,0.0,5.36979079246521,0.3136730194091797,10002025,10003025,11003025
dcgan,DCGAN (classe 0),2,1,1,1,0.5,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,252,798,546,147,399,31.221081256866455,0.0767672061920166,7.57748007774353,0.29709315299987793,20002025,20003025,21003025
cgan,CGAN (classe 0),3,1,1,1,0.5,0.6346153846153846,0.9014084507042254,0.5614035087719298,0.6918918918918919,0.6973684210526316,35,7,50,64,252,798,546,147,399,73.57304811477661,0.5064175128936768,7.378519296646118,0.2775719165802002,30002025,30003025,31003025
wgan,WGAN-GP (classe 0),4,1,1,1,0.5,0.7307692307692307,0.74,0.9736842105263158,0.8409090909090909,0.5225563909774436,3,39,3,111,252,798,546,147,399,191.29722499847412,0.08759021759033203,7.50053334236145,0.21496820449829102,40002025,40003025,41003025
smote,SMOTE (classe 0),5,1,1,1,0.5,0.48717948717948717,0.9047619047619048,0.3333333333333333,0.48717948717948717,0.6190476190476191,38,4,76,38,252,798,546,147,399,0.0,0.27199816703796387,7.830653190612793,0.2838013172149658,50002025,50003025,51003025
undersample,Undersampling da classe 1,6,1,1,1,0.5,0.3717948717948718,0.9,0.15789473684210525,0.26865671641791045,0.5551378446115288,40,2,96,18,0,294,546,147,399,0.0,0.0007996559143066406,2.6851887702941895,0.2755293846130371,60002025,60003025,61003025
oversample,Oversampling por repetição (classe 0),7,1,1,1,0.5,0.38461538461538464,0.875,0.18421052631578946,0.30434782608695654,0.556390977443609,39,3,93,21,252,798,546,147,399,0.0,0.0008859634399414062,7.917073965072632,0.2652771472930908,70002025,70003025,71003025
