strategy_display_name,strategy,num_rows,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,gan_training_time_sec_mean,gan_training_time_sec_std,synthetic_generation_time_sec_mean,synthetic_generation_time_sec_std,classifier_training_time_sec_mean,classifier_training_time_sec_std,classifier_eval_time_sec_mean,classifier_eval_time_sec_std,ratio_mean,ratio_std,synthetic_class0_count_mean,synthetic_class0_count_std,synthetic_class1_count_mean,synthetic_class1_count_std,total_synthetic_count_mean,total_synthetic_count_std,balanced_dataset_size_mean,balanced_dataset_size_std,total_real_samples_mean,total_real_samples_std,real_class0_count_mean,real_class0_count_std,real_class1_count_mean,real_class1_count_std
ResNet sem balanceamento,baseline,600,0.7265064102564103,0.04724179579448935,0.7592896734031862,0.037724398000135245,0.9302631578947368,0.13070886789386646,0.8276586722700562,0.060458789243602463,0.5518577694235589,0.059048856260654384,7.285,9.437890389276621,34.715,9.437890389276621,7.95,14.900810939900776,106.05,14.900810939900776,0.0,0.0,0.0,0.0,0.3003370722134908,0.00974827947280126,0.11235453049341837,0.0013769104543499794,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,546.0,0.0,147.0,0.0,399.0,0.0
DCGAN (classe 0),dcgan,600,0.7427670940170941,0.03772543308397354,0.7684645294291396,0.0410608750372592,0.9401169590643274,0.10316125957568016,0.8397921459390015,0.04299080339679518,0.573610066833751,0.06981433546231398,8.698333333333334,9.230601130057686,33.30166666666667,9.230601130057686,6.826666666666667,11.760383591627537,107.17333333333333,11.760383591627537,4.800013089179993,0.04407257496992742,0.002970465024312337,0.0013487827817238727,0.5132770001888275,0.1658607320520386,0.1180340834458669,0.004206221871090295,0.26929840840962443,0.0003998620405624615,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
CGAN (classe 0),cgan,600,0.617542735042735,0.16344519637878674,0.8214440307078474,0.09225374707783268,0.6443567251461988,0.3360013404077253,0.6497205612051524,0.2602723741618879,0.5945593149540518,0.06896021131134071,22.88,14.64384739973299,19.12,14.64384739973299,40.54333333333334,38.30415280648069,73.45666666666666,38.30415280648069,5.380976271629334,0.03218185978755786,0.004152413209279378,0.0020212558217153702,0.5147246718406677,0.16784257686165782,0.11804771582285563,0.004461802546141245,0.26929840840962443,0.0003998620405624615,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
WGAN-GP (classe 0),wgan,600,0.7416773504273504,0.0434745826154664,0.7760763756809528,0.046014551705235836,0.9246929824561403,0.12143958040410358,0.8357983257069874,0.05071060149275049,0.5848068086883876,0.07261387920075099,10.286666666666667,10.133499998629407,31.713333333333335,10.133499998629409,8.585,13.844112166067807,105.415,13.844112166067807,22.469083309173584,0.12021449170487958,0.0029847304026285808,0.0013774190106052293,0.5186748027801513,0.1685779613468343,0.11816434462865194,0.004363770510755231,0.26929840840962443,0.0003998620405624615,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
SMOTE (classe 0),smote,600,0.7004700854700855,0.08937698829656315,0.8035582523744069,0.060482825392159975,0.8101461988304094,0.2147354784544351,0.7808118034150062,0.12261553020696664,0.6064619883040935,0.07016414407657054,16.916666666666668,12.742830228101692,25.083333333333332,12.742830228101692,21.643333333333334,24.4798445438056,92.35666666666667,24.4798445438056,0.0,0.0,0.011776558558146159,0.005996038045461427,0.5210110358397166,0.16963292629258653,0.1187310516834259,0.004329493416504861,0.26929840840962443,0.0003998620405624615,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
Oversampling por repetição (classe 0),oversample,600,0.7024893162393162,0.09591684407466972,0.7981820595527422,0.06896509634672097,0.8221491228070176,0.22236672692758125,0.7816453562115006,0.1415607739218515,0.599923767752715,0.07123808361347922,15.863333333333333,12.761060126633506,26.136666666666667,12.761060126633506,20.275,25.34980686974426,93.725,25.34980686974426,0.0,0.0,0.0010666211446126303,0.0005537119709809257,0.5202163763840993,0.17020669660197293,0.11847656607627868,0.004558502815573785,0.26929840840962443,0.0003998620405624615,98.0,72.26110064665959,266.0,197.00592207680796,364.0,269.26628703447693,910.0,269.26628703447693,546.0,0.0,147.0,0.0,399.0,0.0
