strategy,strategy_display_name,strategy_index,gan_run_id,generation_run_id,classifier_run_id,ratio,acc,prec,rec,f1,auc,tn,fp,fn,tp,synthetic_class0_count,synthetic_class1_count,total_synthetic_count,balanced_dataset_size,total_real_samples,real_class0_count,real_class1_count,gan_training_time_sec,synthetic_generation_time_sec,classifier_training_time_sec,classifier_eval_time_sec,gan_seed,generation_seed,classifier_seed
baseline,ResNet sem balanceamento,1,1,3,1,0.2692307692307692,0.7435897435897436,0.7402597402597403,1.0,0.8507462686567164,0.5238095238095238,2,40,0,114,0,0,0,546,546,147,399,0.0,0.0,0.3074381351470947,0.11316609382629395,10002025,10003027,11005025
baseline,ResNet sem balanceamento,1,1,3,2,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.30774855613708496,0.11504244804382324,10002025,10003027,11005026
baseline,ResNet sem balanceamento,1,1,3,3,0.2692307692307692,0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.5119047619047619,1,41,0,114,0,0,0,546,546,147,399,0.0,0.0,0.30632543563842773,0.11246681213378906,10002025,10003027,11005027
baseline,ResNet sem balanceamento,1,1,3,4,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.31037378311157227,0.11384463310241699,10002025,10003027,11005028
baseline,ResNet sem balanceamento,1,1,3,5,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.308351993560791,0.11320853233337402,10002025,10003027,11005029
baseline,ResNet sem balanceamento,1,1,3,6,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.304182767868042,0.11288118362426758,10002025,10003027,11005030
baseline,ResNet sem balanceamento,1,1,3,7,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.28647685050964355,0.1111760139465332,10002025,10003027,11005031
baseline,ResNet sem balanceamento,1,1,3,8,0.2692307692307692,0.75,0.7697841726618705,0.9385964912280702,0.8458498023715415,0.5883458646616542,10,32,7,107,0,0,0,546,546,147,399,0.0,0.0,0.2852449417114258,0.11101126670837402,10002025,10003027,11005032
baseline,ResNet sem balanceamento,1,1,3,9,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.30465269088745117,0.11301589012145996,10002025,10003027,11005033
baseline,ResNet sem balanceamento,1,1,3,10,0.2692307692307692,0.6987179487179487,0.8073394495412844,0.7719298245614035,0.7892376681614349,0.6359649122807017,21,21,26,88,0,0,0,546,546,147,399,0.0,0.0,0.2881922721862793,0.11096715927124023,10002025,10003027,11005034
baseline,ResNet sem balanceamento,1,1,4,1,0.2692307692307692,0.7243589743589743,0.7290322580645161,0.9912280701754386,0.8401486988847584,0.4956140350877193,0,42,1,113,0,0,0,546,546,147,399,0.0,0.0,0.30097222328186035,0.11282682418823242,10002025,10003028,11006025
baseline,ResNet sem balanceamento,1,1,4,2,0.2692307692307692,0.5384615384615384,0.828125,0.4649122807017544,0.5955056179775281,0.6015037593984962,31,11,61,53,0,0,0,546,546,147,399,0.0,0.0,0.30474376678466797,0.1128227710723877,10002025,10003028,11006026
baseline,ResNet sem balanceamento,1,1,4,3,0.2692307692307692,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.5,0,42,0,114,0,0,0,546,546,147,399,0.0,0.0,0.3046410083770752,0.11302471160888672,10002025,10003028,11006027
baseline,ResNet sem balanceamento,1,1,4,4,0.2692307692307692,0.7435897435897436,0.7466666666666667,0.9824561403508771,0.8484848484848485,0.5388471177944862,4,38,2,112,0,0,0,546,546,147,399,0.0,0.0,0.304262638092041,0.11294960975646973,10002025,10003028,11006028
baseline,ResNet sem balanceamento,1,1,4,5,0.2692307692307692,0.7435897435897436,0.7402597402597403,1.0,0.8507462686567164,0.5238095238095238,2,40,0,114,0,0,0,546,546,147,399,0.0,0.0,0.2803459167480469,0.11153888702392578,10002025,10003028,11006029
