Model,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
cgan,0.25,0.7147435897435898,0.8529226901319924,0.75,0.7831625952193327,0.7527151211361737,0.6387873301282525
cgan,0.5,0.782051282051282,0.8347005742411813,0.8859649122807017,0.8558441558441559,0.7537593984962405,0.7710328623652458
cgan,0.75,0.6730769230769231,0.8697290247790175,0.6491228070175439,0.7351885327290781,0.7883249791144529,0.891746959881857
cgan,1.0,0.6730769230769231,0.8663419913419914,0.6535087719298245,0.7449244924492449,0.7890559732664996,1.0020055414643139
cgan,1.5,0.6858974358974359,0.8613547758284601,0.6885964912280702,0.7595542911332385,0.7922932330827068,1.2491196754854172
dcgan,0.25,0.7275641025641025,0.8364049145299146,0.7807017543859649,0.8056277056277057,0.7580409356725146,0.4491199115291238
dcgan,0.5,0.5096153846153846,0.9114420062695925,0.36403508771929827,0.5122211675367822,0.777360066833751,0.5260452304501086
dcgan,0.75,0.4935897435897436,0.9146634615384616,0.33771929824561403,0.4877867634923254,0.7575187969924813,0.6012992060277611
dcgan,1.0,0.7948717948717949,0.8597842835130971,0.8596491228070176,0.8594519704433498,0.8202798663324979,0.678807029966265
dcgan,1.5,0.7916666666666667,0.8007625272331155,0.9517543859649122,0.8697510040160643,0.8221595655806182,0.8631840613670647
wgan,0.25,0.7243589743589745,0.8691297208538588,0.7324561403508771,0.7932256525591223,0.7949039264828739,0.6340075139887631
wgan,0.5,0.782051282051282,0.7877697841726619,0.9605263157894737,0.8656126482213439,0.7780910609857978,0.7664562738500535
wgan,0.75,0.7724358974358975,0.8207282913165266,0.881578947368421,0.849892703862661,0.7577276524644945,0.8882681014947593
wgan,1.0,0.7756410256410255,0.8011204481792717,0.9298245614035088,0.8583033233025834,0.7624269005847952,1.0105142556130886
wgan,1.5,0.8076923076923077,0.880389258438039,0.8552631578947368,0.8650977595530991,0.8627819548872181,1.267941726371646
