Model,Run,Strategy,Acc,Prec,Rec,F1,AUC,Ratio,Synth,TrainTime
baseline,0,None,0.7756410256410257,0.8319327731092437,0.868421052631579,0.8497854077253219,0.7708855472013366,0.0,0,1.4722855598665774
baseline,0,smote,0.27564102564102566,1.0,0.008771929824561403,0.017391304347826087,0.7443609022556391,0.5,252,0.8149073552340269
baseline,0,undersampling,0.5705128205128205,0.8983050847457628,0.4649122807017544,0.6127167630057804,0.7015455304928989,0.5,-252,0.3726018122397363
baseline,0,oversampling,0.5897435897435898,0.9629629629629629,0.45614035087719296,0.6190476190476191,0.843984962406015,0.5,252,0.6968383430503309
dcgan,0,gan_balanced,0.7371794871794872,0.8016528925619835,0.8508771929824561,0.825531914893617,0.7660818713450293,0.5,252,0.7258937661536038
dcgan,1,gan_balanced,0.8012820512820513,0.7985611510791367,0.9736842105263158,0.8774703557312253,0.7976190476190477,0.5,252,0.7715604240074754
dcgan,2,gan_balanced,0.7435897435897436,0.7402597402597403,1.0,0.8507462686567164,0.7485380116959064,0.5,252,0.7985632219351828
dcgan,3,gan_balanced,0.4551282051282051,0.967741935483871,0.2631578947368421,0.41379310344827586,0.831453634085213,0.5,252,0.7710123863071203
dcgan,4,gan_balanced,0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.8164160401002507,0.5,252,0.7782438448630273
dcgan,5,gan_balanced,0.7692307692307693,0.76,1.0,0.8636363636363636,0.79156223893066,0.5,252,0.7717096852138638
dcgan,6,gan_balanced,0.7115384615384616,0.8876404494382022,0.6929824561403509,0.7783251231527094,0.8020050125313283,0.5,252,0.7762878821231425
dcgan,7,gan_balanced,0.7948717948717948,0.7928571428571428,0.9736842105263158,0.8740157480314961,0.8218462823725983,0.5,252,0.785076049156487
dcgan,8,gan_balanced,0.7307692307692307,0.7337662337662337,0.9912280701754386,0.8432835820895522,0.7443609022556391,0.5,252,0.778402152005583
dcgan,9,gan_balanced,0.7243589743589743,0.784,0.8596491228070176,0.8200836820083682,0.6783625730994154,0.5,252,0.7872670274227858
dcgan,10,gan_balanced,0.75,0.7450980392156863,1.0,0.8539325842696629,0.739139515455305,0.5,252,0.7692678556777537
dcgan,11,gan_balanced,0.391025641025641,0.9523809523809523,0.17543859649122806,0.2962962962962963,0.8383458646616542,0.5,252,0.7613212610594928
dcgan,12,gan_balanced,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7662907268170427,0.5,252,0.7792784511111677
dcgan,13,gan_balanced,0.7435897435897436,0.8363636363636363,0.8070175438596491,0.8214285714285714,0.7646198830409356,0.5,252,0.7993606491945684
dcgan,14,gan_balanced,0.6474358974358975,0.927536231884058,0.5614035087719298,0.6994535519125683,0.8078529657477026,0.5,252,0.764552986714989
dcgan,15,gan_balanced,0.7435897435897436,0.8245614035087719,0.8245614035087719,0.8245614035087719,0.7829991645781119,0.5,252,0.7955840299837291
dcgan,16,gan_balanced,0.7435897435897436,0.743421052631579,0.9912280701754386,0.849624060150376,0.724937343358396,0.5,252,0.7945232037454844
dcgan,17,gan_balanced,0.7307692307692307,0.9090909090909091,0.7017543859649122,0.7920792079207921,0.8389724310776941,0.5,252,0.8026740131899714
dcgan,18,gan_balanced,0.7756410256410257,0.7801418439716312,0.9649122807017544,0.8627450980392157,0.7949039264828738,0.5,252,0.7943015401251614
dcgan,19,gan_balanced,0.6153846153846154,0.9090909090909091,0.5263157894736842,0.6666666666666666,0.8084795321637427,0.5,252,0.7842343719676137
dcgan,20,gan_balanced,0.7884615384615384,0.7956204379562044,0.956140350877193,0.8685258964143426,0.7756892230576441,0.5,252,0.7512939907610416
dcgan,21,gan_balanced,0.7564102564102564,0.7835820895522388,0.9210526315789473,0.8467741935483871,0.77109440267335,0.5,252,0.7793927947059274
