Model,Ratio,Accuracy,Precision,Recall,F1,AUC,TrainTime
patchqgan,0.25,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6307435254803677,0.6971654859371483
patchqgan,0.5,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7349624060150376,0.7977616782300174
patchqgan,0.75,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6635338345864662,0.9157247841358185
patchqgan,1.0,0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.7188805346700083,0.9924768730998039
patchqgan,1.5,0.7884615384615384,0.7755102040816326,1.0,0.8735632183908046,0.7633667502088555,1.256521379109472
