Model,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
cgan,0.25,0.7596153846153846,0.7866721854304636,0.9298245614035088,0.8494920174165457,0.7719298245614037,0.771153810666874
cgan,0.5,0.7051282051282051,0.8732855929117611,0.7017543859649122,0.7730212503849707,0.7800751879699248,1.021160363452509
cgan,0.75,0.7371794871794872,0.8382554945054945,0.7938596491228069,0.8151741495494034,0.7654553049289892,1.1310639271978289
cgan,1.0,0.733974358974359,0.8407106687620045,0.8026315789473684,0.80817420030618,0.8015873015873016,1.24834975739941
cgan,1.5,0.7724358974358975,0.8686926605504588,0.8114035087719298,0.8389558563376806,0.8197577276524645,1.4989717488642782
dcgan,0.25,0.6121794871794872,0.8644768856447689,0.6008771929824561,0.6287073926516158,0.7977234753550543,0.5735671264119446
dcgan,0.5,0.782051282051282,0.8095238095238095,0.9210526315789473,0.8604212934921597,0.8012740183792816,0.6757095674984157
dcgan,0.75,0.6923076923076923,0.9143175664914795,0.6403508771929824,0.7497267759562842,0.8140142021720969,0.755022244527936
dcgan,1.0,0.7307692307692308,0.8292883587001234,0.8157894736842106,0.808791036896545,0.8093149540517961,0.8304938278160989
dcgan,1.5,0.8108974358974359,0.8213046495489245,0.9473684210526315,0.8798407167745147,0.8350041771094403,0.9897840844932944
wgan,0.25,0.733974358974359,0.8357249502322495,0.8114035087719298,0.8133998658830027,0.769423558897243,0.8914413237944245
wgan,0.5,0.766025641025641,0.8439359267734554,0.8508771929824561,0.8400546821599453,0.795843776106934,1.0155617292039096
wgan,0.75,0.7532051282051282,0.782824598810459,0.9166666666666667,0.8444723782160115,0.7595029239766082,1.1378729061689228
wgan,1.0,0.7275641025641025,0.8768148313602859,0.7412280701754386,0.7914893617021277,0.8079573934837092,1.2656434625387192
wgan,1.5,0.766025641025641,0.820353982300885,0.8728070175438596,0.8447317108398932,0.8086883876357561,1.512302593095228
