Model,Ratio,Accuracy,Precision,Recall,F1,AUC,TrainTime
patchqgan,0.25,0.7346153846153846,0.7378068739770868,0.9894736842105264,0.844967320261438,0.6565580618212198,0.5422584226354956
patchqgan,0.5,0.7333333333333333,0.7326673326673326,1.0,0.8457048092868987,0.6863826232247285,0.6261848199181259
patchqgan,0.75,0.7551282051282051,0.7519389573405594,0.9947368421052631,0.8561095261625097,0.7017126148705095,0.712631871830672
patchqgan,1.0,0.7371794871794871,0.7355583126550869,1.0,0.8476119667197735,0.7595655806182122,0.8988230403512716
patchqgan,1.5,0.7538461538461538,0.763260593532477,0.9614035087719298,0.8499908549662519,0.734920634920635,1.0158335397951306
