Model,Strategy,Acc,Prec,Rec,F1,AUC,Ratio,Synth,TrainTime
baseline,None,0.6115384615384615,0.8144100858264031,0.6421052631578947,0.6478907930393613,0.7408103592314118,0.0,0,0.6183871973305941
baseline,oversampling,0.7294871794871794,0.828851238894696,0.8,0.8104169863836816,0.7384294068504595,0.5,252,0.7097660347819328
baseline,smote,0.3269230769230769,0.5951219512195122,0.0807017543859649,0.12373862696443343,0.7748120300751881,0.5,252,0.7172968708910048
baseline,undersampling,0.45256410256410257,0.9161858289014383,0.3017543859649122,0.37353553027877,0.7246031746031747,0.5,-252,0.2906873756088316
cgan,gan_balanced,0.6782051282051282,0.8398461000716495,0.7280701754385965,0.7448136353675188,0.7592314118629908,0.5,252,0.7803748358972371
dcgan,gan_balanced,0.7538461538461538,0.8346139977025449,0.8333333333333334,0.8286268227083152,0.7997076023391814,0.5,252,0.7437707494013012
wgan,gan_balanced,0.767948717948718,0.7714635807689696,0.9736842105263157,0.8601220815946888,0.7954051796157059,0.5,252,0.7673171415925026
