Model,Ratio,Accuracy,Precision,Recall,F1,AUC,TrainTime
patchqgan,0.25,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6862990810359231,0.6562147745862603
patchqgan,0.5,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.737468671679198,0.7836298807524145
patchqgan,0.75,0.7628205128205128,0.7549668874172185,1.0,0.8603773584905661,0.7431077694235589,0.8892202018760145
patchqgan,1.0,0.7564102564102564,0.75,1.0,0.8571428571428571,0.6806599832915622,0.9992076586931944
patchqgan,1.5,0.7628205128205128,0.7655172413793103,0.9736842105263158,0.8571428571428571,0.7380952380952381,1.2236056569963694
