Model,Ratio,Accuracy,Precision,Recall,F1,AUC,TrainTime
patchqgan,0.25,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6304928989139515,0.517994302790612
patchqgan,0.5,0.732051282051282,0.7317121588089329,1.0,0.8450722841800908,0.6783625730994152,0.6130474364385009
patchqgan,0.75,0.7384615384615385,0.7364637765776285,1.0,0.8482255916164274,0.7009607351712615,0.7283364079892636
patchqgan,1.0,0.7435897435897436,0.7426679782879828,0.9947368421052631,0.8502406449576261,0.7392230576441102,0.8099766592495143
patchqgan,1.5,0.7602564102564102,0.7554055553159251,0.9947368421052631,0.8585648820384073,0.752297410192147,1.0394135640002786
