Model,Ratio,Accuracy,Precision,Recall,F1,AUC,TrainTime
mosaiq,0.25,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7188805346700083,0.5983980838209391
mosaiq,0.5,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7134502923976607,0.714703761972487
mosaiq,0.75,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.7155388471177945,0.830805926118046
mosaiq,1.0,0.782051282051282,0.7702702702702703,1.0,0.8702290076335878,0.6996658312447787,0.9471778799779713
mosaiq,1.5,0.7564102564102564,0.7602739726027398,0.9736842105263158,0.8538461538461538,0.756265664160401,1.1885206149891019
