Model,Ratio,Acc,Prec,Rec,F1,AUC,TrainTime
cgan,0.25,0.7008974358974359,0.8343727619966892,0.7578070175438596,0.768317600587352,0.7643943191311613,0.9171058076061308
cgan,0.5,0.7216666666666667,0.8374838146751613,0.7852631578947369,0.7907798503146233,0.7736382623224729,1.047456674100831
cgan,0.75,0.7283974358974359,0.8483284519389234,0.78,0.7978967022636914,0.78015664160401,1.178821412040852
cgan,1.0,0.7332692307692308,0.852616740247449,0.7798245614035088,0.8014711518764415,0.7903111946532999,1.3098029884696007
cgan,1.5,0.7460256410256411,0.8615428185259266,0.7879824561403508,0.8117919335863916,0.8076148705096073,1.5707299083145336
dcgan,0.25,0.7217948717948718,0.8428522470906914,0.7819298245614036,0.7864325695990618,0.7879699248120301,0.9116083599673585
dcgan,0.5,0.7284615384615384,0.8497414992934703,0.7821929824561404,0.7936251759045179,0.7959899749373434,1.0431770012620836
dcgan,0.75,0.7451923076923077,0.8397428065833017,0.8215789473684211,0.8096818913173555,0.8055221386800333,1.1702712383260951
dcgan,1.0,0.7596794871794872,0.8435511078925557,0.8404385964912281,0.8286882556646666,0.8103091060985799,1.3028259789710865
dcgan,1.5,0.7746153846153847,0.8399403123646912,0.867719298245614,0.8449097644744965,0.8192909356725145,1.5607482838165014
wgan,0.25,0.7131410256410257,0.8422343997678873,0.7735964912280702,0.7729048809963053,0.7982550125313282,0.9268793041352182
wgan,0.5,0.7473076923076922,0.8410455763407892,0.8246491228070175,0.8180181325201126,0.8022786131996658,1.0582249523373322
wgan,0.75,0.745576923076923,0.8362007598630093,0.8269298245614035,0.8161912613164286,0.8053279030910611,1.188817106988281
wgan,1.0,0.7678846153846153,0.8399641060487321,0.8591228070175438,0.8366157777765814,0.8174039264828739,1.3248795188544318
wgan,1.5,0.767051282051282,0.8380646634297119,0.8603508771929824,0.835328515052125,0.8192063492063493,1.587849015519023
