Model,Ratio,Accuracy,Precision,Recall,F1,AUC,TrainTime
patchqgan,0.25,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.6119465329991646,0.5867703049443662
patchqgan,0.5,0.7307692307692307,0.7307692307692307,1.0,0.8444444444444444,0.644736842105263,0.7007962139323354
patchqgan,0.75,0.7564102564102564,0.75,1.0,0.8571428571428571,0.6555973266499583,0.8178916997276247
patchqgan,1.0,0.7371794871794872,0.7354838709677419,1.0,0.8475836431226765,0.6507936507936508,0.9360673250630498
patchqgan,1.5,0.8333333333333334,0.8142857142857143,1.0,0.8976377952755905,0.8157894736842106,1.1812999229878187
